Week,Collection,Radio,Calls
1,2652,0,12497
2,2785,0,13911
3,2635,0,15291
4,2824,0,15096
5,2850,0,14652
6,2906,450,19166
7,2969,450,15668
8,2299,0,11139
9,2608,0,14459
10,2691,0,17466
11,2802,450,15289
12,2681,450,13376
13,2010,0,15705
14,2834,450,13031
15,3040,450,15738
16,2943,450,16198
17,2613,450,12220
18,2409,450,10163
19,3035,450,15321
20,2934,450,13335
21,2858,450,16468
22,2713,450,12033
23,2745,450,14831
24,2670,0,15501
25,2484,0,13792
26,2670,450,17607
27,2484,450,6550
28,2255,0,6120
29,2658,0,5987
30,2742,450,6375
31,2891,450,8932
32,2481,450,7367
33,2298,0,8328
34,2537,0,6755
35,2577,0,13233
36,2576,450,15910
37,3128,450,15479
38,2609,0,14279
39,2064,0,12752
40,2969,450,14163
41,2543,0,13703
42,2620,0,11026
43,2764,0,9476
44,2564,450,8731
45,2455,450,8993
46,2990,0,8572
47,2567,0,8725
48,2613,0,11849
49,2911,0,9859
50,3186,0,11518
51,2859,0,5704
52,3113,450,9827
53,3176,450,12550
54,3268,450,14225
55,2578,0,10621
56,2655,0,9458
57,2762,0,11080
58,2935,450,12540
59,2785,550,9630
60,2691,0,11636
61,2610,450,9227
62,2827,450,11699
63,2902,450,13341
64,2741,550,11882
65,2172,0,13496
66,2677,550,14286
67,2976,0,13147
68,2874,450,10810
69,2783,550,9429
70,2294,0,11389
71,3198,550,12636
72,2734,550,10439
73,2909,450,11828
74,3168,550,10196
75,2688,0,8931
76,2881,550,7349
77,2633,0,9927
78,2523,550,11861
79,2888,550,7246
80,2791,0,8872
81,2840,450,6708
82,2869,450,8763
83,2826,550,11868
84,2857,550,9700
85,2826,0,11038
86,2846,550,12877
87,2806,0,12962
88,2830,550,8683
89,3229,550,9883
90,3057,0,10743
91,2551,0,11007
92,2647,550,11932
93,2926,0,8899
94,2910,550,10581
95,2968,0,10206
96,2877,450,10337
97,3114,450,8933
98,2666,0,9833
99,2370,450,10285
100,2714,0,7126
101,2767,450,8329
102,2950,0,8890
103,2834,0,6065
104,2990,450,8898
105,2756,450,8798
106,2804,450,10985
107,3007,450,7445
108,3009,450,9697
109,3004,450,9067
110,2802,550,8265
111,2922,0,9483
112,2636,550,8182
113,2768,450,11378
114,2871,450,9909
115,3049,550,7832
116,2881,550,10246
117,3076,450,9808
118,2482,450,10379
119,2810,450,13659
120,2854,450,10808
121,2809,550,10455
122,2803,550,10930
123,2418,0,9602
124,2937,550,9090
125,2954,550,8624
126,3095,0,10840
127,2774,550,7420
128,2791,550,7054
129,2777,550,10749
130,2890,550,5984
131,3020,0,7019
132,2853,550,5961
133,3256,550,6088
134,2795,0,7094
135,2902,0,6265
136,2915,450,8600
137,2737,450,6012
138,2900,0,6069
139,2752,0,5841
140,2717,450,5650
141,3079,550,7194
142,3013,0,7060
143,2135,0,7710
144,2083,550,1027
145,2730,450,5604
146,3071,0,5688
147,2890,0,7096
148,2781,450,7658
149,2797,550,5751
150,3213,0,9364
151,2716,0,9936
152,3041,0,4096
153,2786,550,7732
154,3052,550,8806
155,2767,0,9550
156,2861,0,8411
